"scenario","alpha_true","replicate","r_hat_used","r_hat_mean","r_hat_map","r_hat_sd","dose","nR","yR","nI","yI","p_true","q_true","obs_pooled","p_pool_plugin","p_mle_plugin"
"sce2",1.2,9,0.986862303266782,0.986862303266782,0,0.00317370574667437,3,100,39,100,100,0.38,1,0.695,0.695,0.393159649464118
"sce2",1.2,9,0.986862303266782,0.986862303266782,0,0.00317370574667437,4,100,46,100,100,0.45,1,0.73,0.73,0.463289917073712
"sce2",1.2,9,0.986862303266782,0.986862303266782,0,0.00317370574667437,5,100,63,100,100,0.55,1,0.815,0.815,0.633066581676938
"sce2",1.2,10,0.9869669889034,0.9869669889034,0,0.00318308616162463,1,100,19,100,100,0.15,1,0.595,0.595,0.192043761535486
"sce2",1.2,10,0.9869669889034,0.9869669889034,0,0.00318308616162463,2,100,31,100,100,0.3,1,0.655,0.655,0.312826975847445
"sce2",1.2,10,0.9869669889034,0.9869669889034,0,0.00318308616162463,3,100,42,100,100,0.38,1,0.71,0.71,0.423205488777021
"sce2",1.2,10,0.9869669889034,0.9869669889034,0,0.00318308616162463,4,100,41,100,100,0.45,1,0.705,0.705,0.413184377630326
"sce2",1.2,10,0.9869669889034,0.9869669889034,0,0.00318308616162463,5,100,49,100,100,0.55,1,0.745,0.745,0.493279321057123
"sce2",1.5,1,0.986930255658671,0.986930255658671,0,0.00318073980865546,1,100,11,100,100,0.15,1,0.555,0.555,0.111308032994553
"sce2",1.5,1,0.986930255658671,0.986930255658671,0,0.00318073980865546,2,100,37,100,100,0.3,1,0.685,0.685,0.373082161008428
"sce2",1.5,1,0.986930255658671,0.986930255658671,0,0.00318073980865546,3,100,40,100,100,0.38,1,0.7,0.7,0.403169616898314
"sce2",1.5,1,0.986930255658671,0.986930255658671,0,0.00318073980865546,4,100,50,100,100,0.45,1,0.75,0.75,0.50328864425183
"sce2",1.5,1,0.986930255658671,0.986930255658671,0,0.00318073980865546,5,100,48,100,100,0.55,1,0.74,0.74,0.483285976189296
"sce2",1.5,2,0.986862481295467,0.986862481295467,0,0.00317374156807911,1,100,14,100,100,0.15,1,0.57,0.57,0.1416152161966
"sce2",1.5,2,0.986862481295467,0.986862481295467,0,0.00317374156807911,2,100,28,100,100,0.3,1,0.64,0.64,0.282689317653207
"sce2",1.5,2,0.986862481295467,0.986862481295467,0,0.00317374156807911,3,100,41,100,100,0.38,1,0.705,0.705,0.413210168717261
"sce2",1.5,2,0.986862481295467,0.986862481295467,0,0.00317374156807911,4,100,49,100,100,0.45,1,0.745,0.745,0.493305796664716
"sce2",1.5,2,0.986862481295467,0.986862481295467,0,0.00317374156807911,5,100,61,100,100,0.55,1,0.805,0.805,0.613132153214251
"sce2",1.5,3,0.986900898509035,0.986900898509035,0,0.00317805588626316,1,100,14,100,100,0.15,1,0.57,0.57,0.141610393516774
"sce2",1.5,3,0.986900898509035,0.986900898509035,0,0.00317805588626316,2,100,36,100,100,0.3,1,0.68,0.68,0.363054600053882
"sce2",1.5,3,0.986900898509035,0.986900898509035,0,0.00317805588626316,3,100,39,100,100,0.38,1,0.695,0.695,0.393150266750024
"sce2",1.5,3,0.986900898509035,0.986900898509035,0,0.00317805588626316,4,100,45,100,100,0.45,1,0.725,0.725,0.453269586171866
"sce2",1.5,3,0.986900898509035,0.986900898509035,0,0.00317805588626316,5,100,55,100,100,0.55,1,0.775,0.775,0.553256680618174
"sce2",1.5,4,0.986995061576934,0.986995061576934,0,0.00318427705101461,1,100,17,100,100,0.15,1,0.585,0.585,0.171871163958667
"sce2",1.5,4,0.986995061576934,0.986995061576934,0,0.00318427705101461,2,100,32,100,100,0.3,1,0.66,0.66,0.322868456859446
"sce2",1.5,4,0.986995061576934,0.986995061576934,0,0.00318427705101461,3,100,38,100,100,0.38,1,0.69,0.69,0.383098366699474
"sce2",1.5,4,0.986995061576934,0.986995061576934,0,0.00318427705101461,4,100,46,100,100,0.45,1,0.73,0.73,0.463256407505653
